username,timestamp_utc,team,run_id,type,model,macro_f1,accuracy,precision,recall
Murad-Hossen,2026-03-07 17:31:39 UTC,murad_hossen,murad_hossen_2026-03-05,human,GCN,0.592666,0.594771,0.593023,0.653846
ignatiusbalayo,2026-03-09 16:34:02 UTC,Ignatius B,run_001,human,GraphSAGE,0.421719,0.535948,0.524476,0.961538
tasneem-mselim,2026-03-13 08:18:42 UTC,Tasneem Selim,run_1,human,GCN,0.435957,0.437908,0.439394,0.371795
hadilaff,2026-03-20 15:03:40 UTC,hadil,run_4_threshold_0.5,human+llm,GIN,0.417978,0.470588,0.487603,0.75641
gururgg,2026-03-24 09:42:52 UTC,gururgg,run_01,human,Graph Transformer,0.610115,0.614379,0.604396,0.705128
faranbutt,2026-03-29 12:13:56 UTC,faranbutt,02,human,GCN,0.567723,0.568627,0.588235,0.512821
bjayadikary,2026-03-30 04:15:30 UTC,bijay,1,human,GCN,0.573999,0.575163,0.578313,0.615385
VinitSingroha,2026-04-03 11:00:50 UTC,Vinit Singroha,vinitsingroha,human,GIN++,0.561792,0.562092,0.577465,0.525641
samuelmatia,2026-04-03 13:00:50 UTC,samuel,run_01,human,GCN,0.389111,0.424837,0.368421,0.179487
emmakowu3579-ui,2026-04-04 13:42:03 UTC,emmanuel_owusu,graph_sage_attention,human+llm,GraphLevelSAGE + AttentionalAggregation,0.558177,0.575163,0.561905,0.75641
NoorMajdoub,2026-04-04 16:48:01 UTC,nour maj,258,human,GAT,0.449074,0.542484,0.528986,0.935897
KEMPEGUY,2026-04-09 20:54:30 UTC,Peguy,gcn_v1,human,2-layer GCN with adjacency as node features,0.527949,0.555556,0.544643,0.782051
El-Ikram,2026-04-11 12:17:32 UTC,El-Ikram,run_2,human+llm,GIN,0.626877,0.627451,0.652174,0.576923
TugaAhmed,2026-04-14 18:58:50 UTC,Tuga Yousif,run1,human,GCNConv,0.441385,0.457516,0.475248,0.615385
Murad-Hossen,2026-05-16 06:58:51 UTC,LLM_Claude_Opus_47,run_claude_47,llm-only,GraphSAGE,0.607826,0.607843,0.621622,0.589744
randomuser1194,2026-05-17 22:15:15 UTC,DeepSeek-v4-pro,run_01,llm-only,-,0.328947,0.490196,0.0,0.0
Murad-Hossen,2026-05-18 21:01:41 UTC,LLM_Gemini_25_Pro,run_gemini_25_pro,llm-only,GCN,0.487872,0.522876,0.521739,0.769231
Murad-Hossen,2026-05-18 21:05:44 UTC,LLM_Gemini_25_Pro,run_gemini_25_pro,llm-only,GCN,0.487872,0.522876,0.521739,0.769231
mubbytheback,2026-05-19 07:25:57 UTC,Kimi K 2.6,run_001,llm-only,GCN,0.640277,0.640523,0.661972,0.602564
SanaeZR,2026-05-19 17:19:35 UTC,agent_gnn,readme_recommended_gnn_v1,llm-only,GAT/GCN when tensors are readable,0.457145,0.457516,0.468354,0.474359
